Unit: dimensionless (share of capacity),Share of capacity that is cost of service
hard coal,0.942
natural gas steam turbine,0.736
natural gas combined cycle,0.381
nuclear,0.568
hydro,0.977
onshore wind,0.027
solar PV,0.443
solar thermal,0.0
biomass,0.0
geothermal,0.065
petroleum,0.787
natural gas peaker,0.899
lignite,0.553
offshore wind,0.012
crude oil,0.787
heavy or residual fuel oil,0.787
municipal solid waste,0.035
hard coal w CCS,0.942
natural gas combined cycle w CCS,0.381
biomass w CCS,0.0
lignite w CCS,0.553
small modular reactor,0.568
hydrogen combustion turbine,0.899
hydrogen combined cycle,0.381
